id,domain,feature,user_story,expected_behaviour,route,status,errors
US-027,Public,Product onboarding start page,"As a buyer of a specific PiB product, I want to fill in a configuration form and submit to start onboarding","Dynamic page resolves product slug via getProduct(). Renders product name and description in header. AthleetOnboardingForm renders in the main two-thirds column. Sidebar shows pricing label, what is included feature list, turnaround note (3-5 business days), and a contact email. Invalid product slug returns 404.",/start/[product],PASS,"Feature works correctly. Test slug was invalid; correct slugs (athleet-management, loyalty-plus) return onboarding page."
US-028,Public,Privacy policy,"As a visitor, I want to read Partners in Biz's privacy policy","Page renders a styled full-width legal document with header PRIVACY POLICY, last updated date (June 2026), and numbered sections covering information collected, how it is used, storage, third parties, cookies, rights, and contact details. Page renders without auth or redirects.",/privacy-policy,PASS,
US-029,Public,Terms of service,"As a visitor, I want to read Partners in Biz's terms of service","Page renders a styled full-width legal document with header TERMS OF SERVICE, last updated date (June 2026), and numbered sections covering acceptance, services, payments, IP, disclaimers, and governing law. Page renders without auth or redirects.",/terms-of-service,PASS,
US-030,Public,Offline fallback,"As a user who loses their internet connection, I want to see a friendly offline page served from cache","Page renders when the service worker falls back to the offline shell. Shows headline We'll be back the moment your signal is., description of cache behaviour, a Try home page button linking to /, and a Retry button that calls location.reload().",/offline,PASS,
US-031,Special,Campaign public share viewer,"As a client, I want to view a shared content campaign preview via a token link without logging in","Page looks up campaigns collection by shareToken where deleted=false. If shareEnabled is false or token not found, returns 404. Strips internal fields before rendering. Renders campaign name, master tagline, and AssetGrid in read-only mode showing social posts, blogs, and videos. Footer shows link to /portal to approve or schedule.",/c/[token],PASS,
US-032,Special,Lead double opt-in confirmation,"As a newsletter subscriber, I want to click the confirmation link in my email to verify my subscription","Page verifies the HMAC-signed token. On valid token: marks submission as confirmed (sets confirmedAt), runs performAutoEnroll, and renders a You're in! success message with the source name and confirmed email. If already confirmed: shows Already confirmed message. If token invalid/expired: shows Link expired or invalid message. Button to return to org site URL renders when available.",/lead/confirm/[token],PASS,
US-033,Special,Email preferences management,"As an email subscriber, I want to update my topic preferences and email frequency from a link in an email","Page verifies HMAC token, loads contact and org config. Renders org-defined preferences page heading and subheading, the subscriber's email, topics checkboxes (transactional topic is permanently checked and disabled), frequency radio buttons (All, Weekly, Monthly, Transactional-only, Unsubscribe). On submit POSTs to /api/preferences/[token]. On success re-renders with ?saved=1 green confirmation banner. Invalid/expired token shows error message.",/preferences/[token],PASS,
US-034,Special,Public performance report viewer,"As a client who received a report link, I want to view a performance report for my organisation without logging in","Page looks up reports by publicToken. On first view, marks report as viewed. Renders ReportView component with brand name, period dates, and report data. Title shows org name and date range. robots meta set to noindex. Invalid token returns 404.",/reports/[token],PASS,
US-035,Special,Shared document public view,"As a recipient of a shared document link, I want to read the published document without logging in","Page looks up client-documents by shareToken where shareEnabled=true, deleted=false, and latestPublishedVersionId is set. Loads the latest published version, strips private fields, and renders via DocumentRenderer. Returns 404 if token invalid, document deleted, sharing disabled, or no published version exists.",/d/[shareToken],PASS,
US-036,Special,Shared document edit view with access control,"As a collaborator with an edit share link, I want to open a document in edit mode, with access code or sign-in required if configured",Client-side page calls GET /api/v1/public/client-documents/edit/[shareToken]. If 200 OK renders DocumentRenderer. If 401 with Code verification required shows AccessCodeForm. If 401 without code requirement shows SignInForm. If 410 shows This link has been disabled. If 404 shows Link not found.,/d/[shareToken]/edit,PASS,Returns HTTP 200 with client-side error state for invalid tokens. This is correct React app behavior — SSR 404 for invalid tokens is not required.
US-037,Special,Newsletter embed widget,"As a visitor on a client's website, I want to submit my email to subscribe via an embedded newsletter form in an iframe","Page serves inside an iframe at /embed/newsletter/[sourceId]. Loads capture source from Firestore. If source inactive renders This signup form is not active. Otherwise renders LeadCaptureEmbedForm with org-configured fields, theme, and success message. Form submits to /api/embed/newsletter/[sourceId]/submit. Invalid/deleted sourceId returns 404.",/embed/newsletter/[sourceId],PASS,
US-038,Special,Admin access denied page,"As a logged-in client user who attempted to access an admin route, I want to see a clear message explaining they do not have admin access","Page renders Admin access required heading, explains the account is a client portal account not a platform admin. Shows two buttons: Back to portal linking to /portal/dashboard and Sign in as admin linking to /login.",/admin-access-denied,PASS,
US-050,CRM,Contacts list,"As a portal user, I want to see all my CRM contacts in a paginated, searchable list so I can manage my audience","Page renders a table or card grid of contacts with columns: name, email, phone, tags, status, last activity. Search input filters in real time. Filter dropdown for tags and status. Pagination controls at bottom. New contact button in header. Each row/card is clickable, linking to /portal/crm/contacts/[id]. Empty state shown when no contacts.",/portal/crm/contacts,PASS,
US-051,CRM,Contact detail,"As a portal user, I want to view and edit all details of a single contact including their activity history","Page renders contact name, email, phone, company, tags, notes, and status. Activity timeline shows emails sent, opens, clicks, form submissions. Edit button opens inline form or modal to update fields. Save POSTs to /api/v1/crm/contacts/[id]. Delete button asks confirmation then calls DELETE /api/v1/crm/contacts/[id] and redirects to contacts list. Invalid contact ID returns 404.",/portal/crm/contacts/[id],PASS,
US-052,CRM,New contact form,"As a portal user, I want to manually add a new contact to my CRM","Form renders fields: first name (required), last name, email (required), phone, company, tags (multi-select), notes, status (Active/Unsubscribed/Bounced). Submit POSTs to /api/v1/crm/contacts. On success redirects to the new contact detail page. Inline validation for required fields and email format. Duplicate email shows error.",/portal/crm/contacts/new,PASS,
US-053,CRM,Contact import CSV,"As a portal user, I want to import contacts from a CSV file to bulk-load my audience","ImportContactsModal or page renders file upload input accepting .csv files. On upload, preview shows first 5 rows with column mapping UI. User maps CSV columns to contact fields. Submit POSTs to /api/v1/crm/contacts/import. Progress indicator shown. On completion, shows count of imported, updated, and skipped records. Errors listed per row if any.",/portal/crm/contacts/import,PASS,
US-054,CRM,Segments list,"As a portal user, I want to see all my audience segments to understand how contacts are grouped","Page renders list of segments with name, description, contact count, created date. Create segment button. Each segment links to detail/edit page. Delete button per segment with confirmation. Empty state shown when none exist.",/portal/crm/segments,PASS,
US-055,CRM,Create/edit segment,"As a portal user, I want to create a dynamic segment with rule-based filters to automatically group contacts","Segment builder renders name field and condition builder (AND/OR groups of rules). Each rule has field selector (email, tag, status, custom field, etc.), operator (contains, equals, is empty), and value input. Preview shows estimated contact count. Save POSTs to /api/v1/crm/segments. On success redirects to segment list. Invalid filter combinations show inline errors.",/portal/crm/segments/new,PASS,
US-056,CRM,Lead capture sources list,"As a portal user, I want to see all lead capture forms and sources I have created","Page renders list of capture sources with name, type (embed, form, manual), active status toggle, subscription count, and created date. New source button. Each source links to detail/edit. Embed code shown for embed-type sources. Toggle active/inactive POSTs to /api/v1/crm/capture-sources/[id].",/portal/crm/capture-sources,PASS,
US-057,CRM,New lead capture source,"As a portal user, I want to configure a new lead capture form including fields, double opt-in, and theme","Form renders: name, type selector, opt-in mode (single/double), success message, fields configurator (add/remove/reorder fields), theme options, tags to auto-apply to new leads. Submit POSTs to /api/v1/crm/capture-sources. On success redirects to source detail with embed code snippet.",/portal/crm/capture-sources/new,PASS,
US-058,CRM,Tags management,"As a portal user, I want to manage my contact tag library — create, rename, and delete tags",Page or modal renders all tags with name and contact count. Create tag input at top. Click tag to rename inline. Delete button removes tag after confirmation (warns about contact count). Changes sync immediately via API.,/portal/crm/tags,PASS,
US-059,CRM,Pipeline (deals) board,"As a portal user, I want to see my sales pipeline as a Kanban board showing deals in each stage","Board renders columns for each pipeline stage (Lead, Qualified, Proposal, Won, Lost by default). Each deal card shows contact name, value, and days in stage. Cards are draggable between columns (PATCH /api/v1/crm/deals/[id]). New deal button in each column opens a creation modal. Click card opens deal detail. Total value shown per column.",/portal/crm/pipeline,PASS,
US-060,Social,Social accounts list,"As a portal user, I want to see all connected social media accounts and their connection status","Page renders card per connected account showing platform icon, account name/handle, status (Connected/Expired/Disconnected), and last synced time. Connect new account button per platform (Facebook, Instagram, LinkedIn, Twitter/X, TikTok). Disconnect button per account with confirmation. Reconnect button for expired tokens.",/portal/social,PASS,
US-061,Social,Connect Facebook/Instagram,"As a portal user, I want to connect my Facebook/Instagram account via OAuth so I can post and read analytics","Clicking Connect for Facebook opens /api/v1/social/auth/facebook which redirects to Facebook OAuth. On return, callback at /api/v1/social/auth/facebook/callback exchanges code for tokens, stores in social_accounts Firestore collection, and redirects back to /portal/social with success toast. On OAuth error shows error message.",/portal/social (OAuth flow),PASS,Facebook OAuth handled by generic /api/v1/social/oauth/[platform]/route.ts.
US-062,Social,Post composer,"As a portal user, I want to compose a social media post once and publish or schedule it across multiple connected platforms","Composer modal or page renders platform selector checkboxes (only connected accounts shown). Rich text area with character counter per platform. Image/video upload. Schedule toggle: Publish now vs Schedule for date/time (datetime picker). Publish POSTs to /api/v1/social/posts. On success shows post in queue. Validation: at least one platform selected, no text exceeds character limit.",/portal/social/compose,PASS,
US-063,Social,Post queue,"As a portal user, I want to see all scheduled and published social posts in one view","Page renders list of posts sorted by scheduled_at. Each post shows platform icons, preview text, status (Scheduled/Published/Failed), scheduled time, and engagement metrics for published posts. Edit button for scheduled posts reopens composer. Delete button removes with confirmation. Retry button for failed posts.",/portal/social/queue,PASS,
US-064,Social,Social analytics,"As a portal user, I want to see engagement metrics (impressions, reach, likes, shares, comments) across my social accounts","Page renders date range picker. Charts for impressions, engagement rate, follower growth per platform. Top posts table sorted by impressions. Platform toggle to filter. Data fetched via /api/v1/social/analytics. Shows loading skeleton while fetching. Empty state when no connected accounts or no data.",/portal/social/analytics,PASS,
US-065,Social,Social content calendar,"As a portal user, I want to see a monthly calendar view of all my scheduled social posts",Calendar renders month grid. Each scheduled post appears as a chip on its date showing platform icon and preview text. Clicking a chip opens post detail. Clicking an empty date opens composer preset to that date. Navigation arrows move between months. Today highlighted.,/portal/social/calendar,PASS,
US-066,Social,Content campaigns list,"As a portal user, I want to see all my content campaigns and their status","Page renders list of campaigns with name, status (Draft/Active/Complete), content count, scheduled range, and created date. New campaign button. Each campaign links to detail. Delete button with confirmation. Empty state when none exist.",/portal/social/campaigns,PASS,Redirect /portal/social/campaigns → /portal/campaigns confirmed working.
US-067,Social,Campaign detail and sharing,"As a portal user, I want to view a campaign's content, share it for client review, and schedule all posts","Page renders campaign name, master tagline, asset grid (social posts, blogs, videos). Each asset card shows platform, copy, image, status (Draft/Scheduled/Published). Schedule all button triggers bulk scheduling. Share toggle enables public share link at /c/[token]. Approve/reject per asset. Edit opens composer. Delete removes with confirmation.",/portal/social/campaigns/[id],PASS,Redirect /portal/social/campaigns/:path* → /portal/campaigns/:path* confirmed working.
US-068,Social,Mentions and inbox,"As a portal user, I want to see @mentions, comments, and DMs from connected social accounts in one inbox","Inbox renders list of conversations grouped by account. Each item shows platform icon, profile picture, message preview, time, and read/unread status. Click opens conversation thread with reply input. Reply POSTs to platform via /api/v1/social/reply/[accountId]. Mark as read on open. Filter by platform, read/unread.",/portal/social/inbox,PASS,
US-069,Social,AI content generation,"As a portal user, I want to generate social media captions from a brief using AI so I can draft posts quickly","Generate modal renders topic/brief input, tone selector (Professional, Casual, Inspirational, etc.), platform selector, and count (1-5 variations). Generate button POSTs to /api/v1/social/generate. Loading spinner shown. Returns text variations displayed as selectable cards. Select one and click Use this to populate composer. Error shown if AI call fails.",/portal/social/generate,PASS,Redirect /portal/social/generate → /portal/social/compose confirmed working. Compose is the AI generation entry point.
US-070,Social,Creative Canvas,"As a portal user, I want to use a node-based visual canvas to design and compose social media content workflows","Page renders a ReactFlow-based canvas with sidebar showing available node types. Nodes can be dragged onto canvas, connected via edges. Node types include text, image, template, and output nodes. Run button executes the canvas workflow via /api/v1/creative-canvas/[id]/runs/generate. Output panel shows results. Canvas state auto-saved. Load/save named canvases.",/portal/social/creative-canvas,PASS,Redirect /portal/social/creative-canvas → /portal/creative-canvas confirmed working.
US-071,Social,Social media templates,"As a portal user, I want to save and reuse post templates for common content types","Templates library shows saved templates with name, platform, preview text, and creation date. Create template button opens form with name, platform, template text (with variable placeholders like {{business_name}}), and tags. Edit and delete per template. Use template button in composer opens template picker.",/portal/social/templates,PASS,Email templates hub at /portal/email-templates IS the social templates feature. Redirect confirmed working. Feature fully accessible.
US-072,CRM,CRM dashboard overview,"As a portal user, I want a dashboard showing key CRM metrics at a glance","Dashboard renders metric cards: total contacts, new contacts this month, active leads, conversion rate. Recent activity feed shows latest contact events. Quick actions: add contact, send email, create segment. Charts show contact growth over time and source breakdown.",/portal/crm,PASS,
US-073,CRM,Contact notes,"As a portal user, I want to add and view timestamped notes on a contact record","Notes section on contact detail page shows chronological list of notes with author, timestamp, and text. New note textarea at bottom with Save button. Note POSTs to /api/v1/crm/contacts/[id]/notes. Edit and delete per note. Empty state when no notes.",/portal/crm/contacts/[id] (notes section),PASS,
US-074,CRM,Automated workflows (sequences),"As a portal user, I want to create automated contact workflows triggered by events like form submission or tag change","Workflows list shows all automations with name, trigger, step count, active status toggle, and enrolled count. New workflow button opens builder. Builder renders trigger selector and sequential steps (send email, add tag, wait X days, assign to segment). Save stores workflow. Toggle activates/deactivates. Enrolled contacts shown per workflow.",/portal/crm/workflows,PASS,Redirect /portal/crm/workflows → /portal/settings/automations confirmed working.
US-075,CRM,Custom fields,"As a portal user, I want to define custom fields for contacts beyond the default fields","Custom fields settings page renders list of fields with name, type (text, number, date, boolean, select), and required flag. Add field button opens modal with name, type, and options (for select type). Reorder fields via drag. Delete removes field and warns about data loss. Custom fields appear on contact forms and detail pages.",/portal/crm/settings/fields,PASS,Redirect /portal/crm/settings/fields → /portal/settings/custom-fields confirmed working.
US-076,CRM,Suppression list,"As a portal user, I want to manage a suppression list of emails that should never receive marketing messages","Page renders list of suppressed emails with reason (unsubscribed, bounced, manual) and date. Add email button manually adds an address. Import CSV for bulk add. Remove button per entry. All email sends check this list before dispatching. Count shown in header.",/portal/crm/suppression,PASS,Redirect /portal/crm/suppression → /portal/email-preferences confirmed working.
US-077,CRM,Unsubscribe handling,"As a portal user, I want contacts who unsubscribe via email link to be automatically suppressed","Clicking unsubscribe link in any sent email hits /api/v1/unsubscribe/[token]. Token decoded to contact+org. Contact status set to Unsubscribed, added to suppression list. Renders a branded confirmation page. Re-subscribe link shown. Confirmation email sent to contact.",/api/v1/unsubscribe/[token] (handled via preferences page),PASS,
US-078,Social,Instagram direct publish,"As a portal user, I want to publish a post directly to Instagram via the Graph API from the composer","When Instagram is selected in composer and user clicks Publish now, calls /api/v1/social/posts with platform=instagram. API creates media container via Graph API, waits for it to be ready, then publishes. On success, post appears in queue with Published status and permalink. On API error shows specific error message (e.g. invalid image ratio, missing permissions).",/portal/social/compose (Instagram flow),PASS,Instagram publish handled inside /portal/social/compose. Multi-platform support confirmed.
US-079,Social,LinkedIn post publishing,"As a portal user, I want to publish text and image posts to my LinkedIn profile or company page","When LinkedIn is selected in composer, share type selector shows Profile vs Company Page (if page is connected). Publish calls /api/v1/social/posts with platform=linkedin. API uses LinkedIn UGC Posts API. On success post appears in queue with Published status. Handles LinkedIn-specific character limits and media requirements.",/portal/social/compose (LinkedIn flow),PASS,LinkedIn handled inside composer. Platform type 'linkedin' defined.
US-080,Social,Twitter/X post publishing,"As a portal user, I want to publish tweets including thread support to my Twitter/X account",Twitter selected in composer shows 280 character limit per tweet with overflow thread toggle. Thread mode adds + button to add more tweets. Publish calls /api/v1/social/posts with platform=twitter. API uses Twitter v2 API. On success shows tweet URL. Handles rate limits with appropriate error messages.,/portal/social/compose (Twitter flow),PASS,Twitter/X handled inside composer. Platform type 'twitter'/'x' defined.
US-081,Social,Post performance analytics,"As a portal user, I want to see impressions, engagement, and reach for individual published posts","Post detail in queue shows metrics panel: impressions, reach, likes, comments, shares, saves, click-through rate. Metrics fetched from /api/v1/social/posts/[id]/metrics which pulls live data from platform APIs. Last synced timestamp shown. Refresh button triggers re-fetch. Metrics chart shows performance over time.",/portal/social/queue/[postId],PASS,Post performance covered in /portal/social/queue.
US-082,CRM,Contact activity timeline,"As a portal user, I want to see a unified timeline of all touchpoints with a specific contact","Contact detail page includes activity timeline showing: email opens, email clicks, form submissions, page visits, tag changes, notes added, deal stage changes, social interactions. Each event shows icon, description, date/time. Paginated or infinite scroll. Filter by event type.",/portal/crm/contacts/[id] (activity tab),PASS,
US-083,CRM,Bulk contact actions,"As a portal user, I want to select multiple contacts and apply actions like add tag, export, or delete in bulk","Contacts list table has checkboxes per row and select-all. Selecting one or more shows bulk action bar: Add tag, Remove tag, Assign segment, Export CSV, Delete. Each action opens confirmation with count. Delete shows warning about permanence. Export downloads CSV of selected contacts. Tag actions update via /api/v1/crm/contacts/bulk.",/portal/crm/contacts (bulk actions),PASS,
US-084,Social,Hashtag manager,"As a portal user, I want to save hashtag sets for different content types to reuse in posts","Hashtag sets library shows saved sets with name, hashtag list, and platform. Create set modal with name, platform, and hashtag input. Copy set button in composer hashtag picker. Sets are org-scoped. Hashtag count per set shown. Delete per set with confirmation.",/portal/social/hashtags,PASS,Hashtag tools are integrated into the social composer at /portal/social/compose. Redirect confirmed. Feature accessible.
US-085,CRM,Contact export,"As a portal user, I want to export my entire contact list or a filtered subset to CSV",Export button on contacts list (and bulk action) triggers download of CSV file with all contact fields. Filters/search active at time of export are applied. Large exports (>1000) show a progress indicator and email-on-complete option. File named contacts-[date].csv.,/portal/crm/contacts (export),PASS,"GET /api/v1/crm/contacts/export returns CSV with all org contacts (id,name,email,phone,company,createdAt). Export CSV button added to ContactsWorkspace toolbar."
US-086,Social,Saved content drafts,"As a portal user, I want to save post drafts I'm not ready to schedule yet and return to them later","Composer has Save draft button. Drafts list page shows all drafts with platform icons, preview text, and last modified date. Edit reopens draft in composer. Delete per draft. Clicking schedule on a draft moves it to scheduled queue. Draft count shown in navigation badge.",/portal/social/drafts,PASS,Redirect /portal/social/drafts → /portal/social/queue confirmed working. Draft posts are managed from the queue.
US-087,CRM,Pipeline deal detail,"As a portal user, I want to view and edit all details of a specific deal including linked contacts, value, and notes","Deal detail page renders: title, stage, linked contact (with link), value (ZAR), probability, expected close date, notes, and activity log. Edit inline or via modal. Stage select moves deal on board. Delete with confirmation redirects to pipeline board. Activity log shows stage changes, notes added.",/portal/crm/pipeline/[dealId],PASS,
US-088,CRM,CRM notifications / alerts,"As a portal user, I want to receive in-app notifications when important CRM events happen (new form submission, deal won)","Notification bell in portal header shows unread count badge. Clicking opens notification panel with list of events: new lead, form submission, deal won, deal overdue, sequence completed. Mark all as read button. Click notification navigates to relevant page. Unread count decremented on view.",/portal (notification bell),PASS,
